"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
1.27,351.79,8.15,4.66,8.72,17.46,78.8,0.6375,0
2.01,414.49,13.58,10.05,4.9,14.51,70.36,0.625,0
0.97,341.68,6.77,2.05,3.24,12.93,78.17,0.6125,0
0.76,279.19,5.07,2.34,9.44,14.7,82.95,0.6,0
1.3,230.91,8.89,4.55,4.69,14.73,76.77,0.6,0
1.44,117.23,10.25,7.71,3.33,14.13,81.6,0.6,0
1.32,143.01,9.75,6.62,2.26,13.41,79.24,0.6,0
0.94,144.22,7.05,2.57,0.07,12.63,88.05,0.6,1.8
0.49,357.28,3.36,0.09,6.93,9.96,84.1,0.6,0
1.12,449.28,7.7,5.08,6.54,12.28,76.25,0.6,0
1.12,354.38,7.8,5.59,7.48,13.45,77.43,0.6,6.6
0.62,258.27,4.16,2.56,8.6,14.85,89.44,0.6,0.1
1.66,241.37,10.5,9.13,6.58,19.67,78.42,0.575,0
0.86,180.61,5.59,3.13,6.59,16.42,89.97,0.55,0
0.63,343.65,4.38,2.67,7.04,13.74,91.61,0.525,14.6
0.55,344.25,4.04,2.3,4.09,11.44,90.23,0.5,3.8
0.3,214.94,1.95,0.14,6.22,11.08,93.5,0.475,4.9
0.66,186.56,4.89,2.26,5.91,10.43,86.9,0.45,2.4
0.64,138.56,4.81,2.16,-0.54,9.87,89.94,0.425,0
0.48,138.89,4.55,1.11,-1.47,6.94,96.42,0.4,0
0.24,197.98,1.77,0,5.16,8.93,94.33,0.425,2
0.22,102.4,1.48,0,8.4,9.77,93.75,0.45,0
0.91,131.44,6.39,4.69,6.38,12.69,88.79,0.475,0
0.39,317.68,2.65,0.32,7.71,13.31,92.71,0.5,0
0.21,307.68,1.5,0,10.23,13.71,91.75,0.525,0.5
0.99,96.18,6.81,6.68,5.01,15.09,89.63,0.55,0
0.94,70.24,6.79,6.97,4.33,15.24,89.96,0.575,0
1.06,101.89,7.53,8.14,3.71,15.85,89.59,0.6,0
0.61,147.84,4.27,3.31,2.97,14.18,94.08,0.575,1.5
0.77,237.05,5.88,5.14,2.87,11.21,90.69,0.55,1
0.54,221.08,4.29,3.43,1.82,9.93,94.61,0.525,0.3
0.66,310.13,4.89,4.77,5.52,11.04,83.03,0.5,1.3
0.48,300.29,3.59,2.33,4.53,10.56,89.76,0.475,1
