"EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed","VWC5_imputed"
0.56,156.09,3.91,2.73,2.97,14.14,94.47,0.8125,2.2,0.1973
0.78,253.27,5.94,5.28,2.48,11.29,90.77,0.725,0.9,0.1968
0.56,236.06,4.54,4.17,0.97,10.37,94,0.6375,0.3,0.1999
0.65,338.92,4.82,5.4,5.68,10.92,83.43,0.55,1.5,0.1993
0.48,301.07,3.58,2.38,4.46,10.58,90.77,0.4625,1,0.1994
0.42,393.13,3.3,2,3.74,8.41,90.51,0.375,0.6,0.2008
0.18,213.48,1.34,0.07,2.54,6.21,94,0.2875,2.2,0.2002
0.53,188.06,4.38,3.41,-0.84,5.18,89.46,0.2,0.4,0.1999
0.19,233.23,1.33,0.04,-0.21,4.6,94.15,0.2625,10.6,0.2095
0.14,172.64,1.25,0.42,2.63,6.66,96.45,0.325,8.2,0.2716
0.43,275.34,3.74,3.77,-3.12,5.44,88.34,0.3875,0,0.2911
0.36,248.62,3.32,2.56,-3.17,5.1,85.78,0.45,0.6,0.2781
0.19,193.41,1.72,0.05,0.54,4.84,90.1,0.5125,1.8,0.2717
0.29,300.41,2.5,0.83,-1.74,6,93.96,0.575,7.6,0.2719
0.1,356.32,0.79,0.01,5.79,12,97.99,0.6375,12.7,0.2911
0.31,427.81,1.97,1.29,9.28,14.03,93,0.7,10.9,0.3207
0.4,529.42,3.05,1.61,7.94,11.67,87.57,0.8,16.4,0.3147
0.43,503.44,3.23,2.37,3.11,8.58,86.2,0.9,1,0.3311
0.44,444.75,3.2,2.61,3.85,7.95,80.35,1,2.2,0.3039
0.19,636.38,1.4,0.23,4.96,13.39,75.84,1.1,4.3,0.2894
0.24,428.95,1.58,0.26,9.51,14.36,83.14,1.2,3.1,0.2935
0.52,414.24,3.32,3.21,6.85,13.14,76.5,1.3,0,0.2882
0.3,214.17,2.25,1.39,4.25,12.23,91.93,1.4,0,0.2724
0.44,504.6,2.79,2.84,3.91,9.27,81.95,1.5,0,0.2608
0.6,401.32,5.24,7.45,-0.9,8.22,76.05,1.5875,0,0.2515
0.38,130.39,3.81,3.32,-3.04,3.85,92.56,1.675,0,0.2451
0.36,178.77,2.86,2.22,-0.12,9.16,88.95,1.7625,0,0.2407
0.6,277.91,4.87,7.13,-3.65,4.01,81.97,1.85,0,0.2371
0.59,117.27,5.58,7.11,-7.05,3.29,86.72,1.9375,0,0.2334
0.45,306.29,4.36,5.52,-7.72,5.13,83.07,2.025,0,0.2303
0.2,351.62,1.44,0.15,3.34,8.17,90.38,2.1125,0.5,0.2293
0.21,189.63,1.69,0.78,-1.32,9.24,92.43,2.2,1,0.2293
0.39,74.58,3.72,4.74,-4.61,6.23,93.67,1.9375,0,0.2302
0.47,227.75,4.76,6.79,-4.76,3.35,83.13,1.675,0,0.2281
0.42,117.78,4.31,6.86,-5.4,4.6,82.97,1.4125,0,0.2258
0.46,126.81,4.27,6.82,-5.97,5.96,89.9,1.15,0,0.2239
0.23,322.01,1.76,0.95,0.7,9.03,78.19,0.8875,0,0.223
0.37,425.11,2.73,2.68,5.23,9.51,72.1,0.625,0.3,0.2223
0.23,367.52,1.62,1.57,6.61,11.82,87.52,0.3625,0.1,0.2216
0.13,379.62,0.9,0.18,5.64,9.36,92.38,0.1,5.5,0.2212
0.26,423.66,1.91,0.86,6.11,9.88,88.62,0.1875,0.9,0.2352
0.18,202.2,1.43,0.58,2.27,7.85,93.74,0.275,0.7,0.2373
0.11,242.25,0.89,0.03,4.38,7.5,94.29,0.3625,0.3,0.2372
0.3,197.1,2.22,2.26,4.86,10,94.34,0.45,0,0.2378
0.13,297.84,0.9,0,4.72,8.07,93.37,0.5375,0,0.2357
0.39,228.82,2.79,3.48,2.74,7.47,86.76,0.625,0.2,0.233
