"EV24","FG","Q","SQ","TN","TX","UG","LAI","VWC5_imputed","rd_imputed"
2.37,312.33,14.18,6.38,9.07,23.26,67.52,1.3,0.3143,0
0.98,190.81,6.45,0.72,7.23,14.75,88.82,1.3,0.3094,1.8
2.38,226.7,16.01,8.81,5.11,17.73,81.34,1.3,0.3045,0
1.83,117.16,13.02,5.71,3.51,15.13,84.63,1.3,0.2998,0
2.15,151.27,14.67,8.42,2.06,17,72.32,1.3,0.2952,0
1.53,319.42,10.86,1.98,4.37,13.92,78.46,1.3,0.1796,0.1
1.07,256.01,7.76,1.78,2.9,11.09,77.65,1.3,0.1756,0.1
1.21,250.75,8.38,1.49,2.43,14.13,74.99,1.3,0.166,0
1.93,123.87,13.32,4.99,3.21,14.82,72.77,1.575,0.1675,0
3.22,139.56,20.77,11.94,0.85,22.46,65.01,1.85,0.1669,0
1.77,356.02,12.3,4.53,3.54,14.54,69.23,2.125,0.1657,0
1.89,310.11,13.34,6.06,1.29,15.24,71.76,2.4,0.1647,0
0.94,470.48,6.58,0.38,6.38,12.57,79.66,2.675,0.163,1.5
1.87,349.12,13.21,5.1,1.39,13.64,76.49,2.95,0.1647,0
0.74,276.6,5.32,0.45,1.96,11.95,76.73,3.225,0.1628,1.2
1.65,452.77,11.47,4.25,4.54,12.97,72.33,3.5,0.1646,0.6
1.47,309.08,10.7,3.25,3.5,11.12,74.5,3.2875,0.1876,15.1
2.12,370.54,16.18,7.3,0.67,11.73,75.51,3.075,0.3174,0.4
