"VWC5","EV24","FG","Q","SQ","TN","TX","UG","LAI","rd_imputed"
0.3162,0.42,505.48,3.08,1.59,7.97,11.68,87.6,0.8625,16.2
0.3246,0.45,474.07,3.31,2.65,3.38,9.14,86.23,1.125,1.6
0.2981,0.4,423.55,2.95,2.29,3.8,7.91,80.19,1.3875,2.4
0.2948,0.22,613.82,1.6,0.66,4.83,13.59,75.5,1.65,3.8
0.315,0.23,412.19,1.5,0.36,9.63,14.44,82.47,1.9125,2.6
0.2995,0.49,382.21,3.08,2.83,6.92,13.05,76.2,2.175,0
0.2864,0.32,202.92,2.49,1.69,4.68,12.48,91.74,2.4375,0
0.2797,0.43,479.68,2.96,2.86,4.02,9.35,82.23,2.7,0
0.2733,0.62,381.6,5.21,7.37,-0.17,7.97,76.73,2.9,0
0.2695,0.36,125.81,3.64,2.89,-2.82,3.71,92.99,3.1,0
0.2683,0.36,165.67,2.84,2.17,-0.44,9.07,89.56,3.3,0
0.2662,0.57,263.35,4.86,7.11,-3.89,3.88,82.65,3.5,0
0.2579,0.6,108.53,5.6,7.1,-7.13,3.12,86.78,3.7,0
0.2303,0.43,290,4.14,5.2,-7.74,4.8,82.75,3.9,0
0.2555,0.17,348.95,1.26,0.15,3.32,8.14,90,4.1,0.2
0.2584,0.22,178.75,1.75,0.93,-1.4,9.12,92.36,4.3,0.6
0.2586,0.39,68.23,3.65,4.57,-4.69,5.91,94.29,3.825,0
0.2497,0.47,208.12,4.77,6.8,-5.07,3.23,83.46,3.35,0
0.2348,0.42,112.26,4.3,6.86,-5.68,4.55,82.26,2.875,0
0.2203,0.46,125.35,4.29,6.81,-5.58,5.78,89.56,2.4,0
0.2356,0.22,307.37,1.7,0.87,0.49,8.85,77.95,1.925,0
0.2493,0.37,402.76,2.69,2.66,5.06,9.36,71.62,1.45,0.2
0.2505,0.21,351.9,1.52,1.36,6.63,11.78,87.16,0.975,0.1
0.2544,0.14,363.38,0.99,0.34,5.62,9.37,91.97,0.5,5.6
0.2993,0.24,404.9,1.77,0.58,6.28,9.79,88.78,0.575,1.1
0.293,0.18,192.59,1.37,0.57,2.49,7.76,93.82,0.65,1
0.2956,0.11,229.54,0.89,0.02,4,7.43,94.08,0.725,0.8
0.2949,0.29,185.94,2.08,1.97,5.08,9.87,94.46,0.8,0
0.2868,0.14,284.36,0.92,0,5.18,8.16,92.15,0.875,0
0.2803,0.39,220.28,2.92,4.05,2.45,7.31,86.54,0.95,0.1
0.287,0.2,176.76,1.3,0.41,2.31,6.94,94.02,1.025,0.3
0.2879,0.21,181.43,1.56,0.8,4.57,8.17,94.91,1.1,0
0.282,0.35,173.92,2.83,4.32,-1.2,6.97,94.72,1.275,0
0.277,0.36,193.03,3.34,5.35,-2.97,3.45,92.8,1.45,0
0.2741,0.28,395.86,2.4,1.73,-0.87,7.95,84.9,1.625,14.8
0.3325,0.1,302.62,0.92,0,4.05,6.44,95.05,1.8,0.2
0.3064,0.26,466.1,2.48,3.02,3.68,8.36,88.84,1.975,1.3
0.3035,0.29,538.29,2.06,1.29,5.87,8.69,85.47,2.15,1.9
0.3109,0.1,622.58,0.46,0,7.84,11.3,90.44,2.325,3.6
0.3147,0.34,519.9,2.68,3.49,3.13,11.32,79.88,2.5,1
0.3024,0.4,287.07,3.35,5.81,1.41,8.73,89.25,2.41666666666667,0.1
0.2931,0.18,135.64,1.59,0.71,-3.06,4.56,95.83,2.33333333333333,0
0.2869,0.33,77.84,3.33,5.24,-5.35,2.64,95.18,2.25,0
0.2718,0.41,162.73,4.23,6.54,-6.52,3.18,93.95,2.16666666666667,0.2
0.2743,0.1,298.42,0.92,0.08,-2.3,0.61,98.25,2.08333333333333,0
0.2856,0.14,384.43,1.32,0.44,-1.85,0.64,95.7,2,3.1
0.3074,0.4,229.69,3.63,5.26,-1.36,6.04,91.72,2.025,0.6
0.2968,0.21,454.44,1.94,1.31,-1.42,5.21,90.87,2.05,2.2
0.3152,0.32,445.55,2.66,2.76,0.63,6.57,83.87,2.075,2.8
0.3087,0.44,194.3,4.39,6.39,-6.65,2.25,82.11,2.1,0
0.2349,0.47,184.92,5.29,6.58,-8.08,-0.85,79.66,2.125,1.7
0.1889,0.1,328.97,0.8,0,-3.1,0.76,93.05,2.15,1.6
0.276,0.19,123.63,1.42,0,0.7,4.49,98.42,2.175,0.1
0.3147,0.19,331.89,1.68,0.33,1.88,5.56,94.21,2.2,6.4
0.3295,0.22,284.9,1.77,1.13,2.11,6.04,94.29,2.125,0.2
0.316,0.17,572.54,1.22,0.89,4.71,9.7,82.01,2.05,1.1
0.3202,0.39,469.35,2.88,2.26,1.2,7.15,82.21,1.975,27.2
0.3579,0.38,468.25,3.37,3.63,0.09,4.27,88.54,1.9,5.5
0.3297,0.3,335.17,2.67,2.24,-0.58,4.17,87.79,1.825,5.2
0.3064,0.4,170.91,4.07,3.87,-3.26,2.64,95.17,1.75,0
0.299,0.11,156.7,1.21,0.47,-4.81,-0.3,95.55,1.675,0
0.2641,0.48,174.18,4.68,5.4,-4.85,-0.58,88.61,1.6,0
0.2425,0.3,166.3,3.12,2.94,-5.66,-1.29,91.16,1.4125,0
0.1705,0.6,118.13,6.27,7.05,-6.44,2.69,82.35,1.225,0
0.1319,0.5,151.55,4.68,6.23,-6.77,3.69,73.97,1.0375,0
0.1258,0.58,191.06,5.6,7.56,-5.58,4.16,81.36,0.85,0
0.1049,0.56,66.72,6.03,7.38,-8.58,3.04,85.75,0.6625,0
0.1077,0.17,137.21,1.53,0.06,-5.38,0.98,89.66,0.475,0.5
0.1412,0.17,130.95,1.54,0,-0.44,1.53,96.39,0.2875,0
0.1623,0.29,189.79,3,2.56,-5.3,-0.13,84.56,0.1,0
0.1073,0.6,216.14,6.24,7.51,-5.78,1.47,77.46,0.1625,0
0.1045,0.5,281.19,4.14,5.01,-4.6,6.43,68.94,0.225,0
0.1363,0.52,290.6,4.33,4.37,1.11,9.44,68.8,0.2875,0.8
0.2724,0.43,368.27,3.43,2.86,2.87,7.18,87.24,0.35,8.1
0.3488,0.12,365.13,1.08,0.05,2.43,7.53,94.03,0.4125,0.8
0.3264,0.22,145.17,1.78,0.29,2.07,4.52,87.71,0.475,0
0.3166,0.46,333.41,3.76,2.43,0.16,5.92,83.5,0.5375,1
0.3122,0.71,330.34,5.03,4.55,4.92,12.5,84.26,0.6,0.7
0.3071,0.43,293.98,2.99,1.05,5.48,11.63,83.13,0.6125,0.6
0.312,0.33,281.42,2.55,0.73,2.89,7.88,89.93,0.625,6.2
0.3202,0.71,232.1,5.67,5.93,0.96,8.82,87.25,0.6375,0
0.3087,0.46,154.57,3.96,1.87,-0.16,7.42,87.03,0.65,0.2
0.3097,0.2,317.36,1.55,0,1.78,4.4,93.18,0.6625,3.3
0.3142,0.22,340.65,1.88,0,-0.52,2.45,89.93,0.675,0
0.302,0.28,342.06,2.43,0.37,-2.96,0.66,82.69,0.6875,0
0.2773,0.16,333.47,1.53,0,-3.34,-0.35,82.61,0.7,1.9
0.2803,0.23,301.36,2.22,0.25,-1.41,1.52,90.88,0.6375,7.6
0.3241,0.53,399.58,4.24,2.94,-0.04,5.01,85.54,0.575,0
0.3125,0.99,440.58,8.38,8.71,-1.07,8.39,74.86,0.5125,0
0.3015,1.02,254.39,8.63,8.78,-1.58,9.92,70.02,0.45,0
0.2954,1.08,192.84,8.49,8.41,-1.38,14.97,73.37,0.3875,0
0.2921,0.69,255.63,5.14,3.24,3.14,10.89,90,0.325,0.7
0.2901,0.35,283.05,2.66,0.59,3.1,9.14,92.07,0.2625,0.4
0.2864,0.8,148.71,6.17,3.89,1.09,10.42,84.4,0.2,0
0.2854,0.26,305.74,2.03,0.26,0.67,7.61,91.3,0.2125,1.1
0.2927,0.21,471.11,1.54,0,6.74,11.1,95.1,0.225,6
0.3132,1.14,390.53,8.05,6.31,7.54,12.23,83.41,0.2375,4.1
0.3307,0.18,630.76,1.2,0,8.39,11.15,91.68,0.25,30.6
0.3424,0.37,817.51,2.45,0.97,4.02,10.86,83.6,0.2625,7.1
0.3268,0.91,335.38,7.36,5.92,-1.39,8.04,80.82,0.275,0.4
0.3037,0.6,444.11,4.85,3.13,-0.38,8.07,77.63,0.2875,0.7
0.2946,0.43,502.66,2.98,0.12,6.45,10.66,80.67,0.3,0.2
0.2988,0.44,594.94,3.16,0.43,5.78,12.11,74.76,0.375,7
0.3159,0.61,561.56,4.88,1.77,1.84,9.21,79.24,0.45,5.8
0.3195,0.73,384.37,5.74,2.31,2.24,9.39,86.55,0.525,3.2
0.3176,0.48,605.28,3.53,0.71,3.15,8.31,74.44,0.6,1.4
0.3041,0.71,301.71,5.36,1.98,0.62,10.24,73.06,0.675,0.4
0.3014,0.75,289.45,5.07,0.93,6.17,14.36,77.6,0.75,13.1
0.3297,1.01,485.98,7.49,4.37,4.59,10.9,82.19,0.825,7.9
0.3252,0.65,226.07,4.98,1.95,3.86,8.7,88.6,0.9,2
0.3121,0.66,215.28,5,2.03,0.7,9.78,87.71,0.925,1.8
0.3306,0.2,374.67,1.6,0,1.2,10.23,93.49,0.95,15.1
0.3185,0.69,372.6,5,2.68,3.95,13.17,85.71,0.975,0.5
0.2998,1.65,135.42,12.46,8.73,-0.05,11.92,78.02,1,0
0.2894,1.28,175.3,9.38,6.03,1.29,12.99,69.46,1.025,0
0.2812,1.88,290.05,13.24,9,2.92,14.91,59.4,1.05,0
0.2748,1.4,195.35,10.28,5.65,0.96,14.87,72.22,1.075,0
0.2701,1.75,320.95,12.36,7.06,2.98,16.13,81.42,1.1,0
0.2658,1.81,169.35,12.85,7.02,1.73,14.87,77.18,1.1875,0
0.2612,2.08,194.23,14.69,10.61,-0.11,17.22,74.29,1.275,0
0.2573,1.22,454.46,8.5,4.13,6.01,10.81,67.5,1.3625,8.3
